id,name,state,lon,lat,all_ela1922,all_ela1922_e,all_ela2019,all_ela2019_e,all_ela2022,all_ela2022_e,all_mth1922,all_mth1922_e,all_mth2019,all_mth2019_e,all_mth2022,all_mth2022_e,state_x,b_ela1922,b_ela1922_e,b_ela2019,b_ela2019_e,b_ela2022,b_ela2022_e,b_mth1922,b_mth1922_e,b_mth2019,b_mth2019_e,b_mth2022,b_mth2022_e,h_ela1922,h_ela1922_e,h_ela2019,h_ela2019_e,h_ela2022,h_ela2022_e,h_mth1922,h_mth1922_e,h_mth2019,h_mth2019_e,h_mth2022,h_mth2022_e,w_ela1922,w_ela1922_e,w_ela2019,w_ela2019_e,w_ela2022,w_ela2022_e,w_mth1922,w_mth1922_e,w_mth2019,w_mth2019_e,w_mth2022,w_mth2022_e
01,Alabama,AL,-86.769,32.603,-0.005,0.125,-0.658,0.169,-0.663,0.183,-0.147,0.12,-0.985,0.163,-1.132,0.175,AL,-0.086,0.208,-2.112,0.27,-2.198,0.316,-0.239,0.207,-2.598,0.237,-2.837,0.34,0.288,0.354,-1.682,0.602,-1.393,0.373,-0.076,0.242,-1.819,0.372,-1.895,0.308,0.061,0.153,0.274,0.188,0.336,0.241,-0.029,0.139,-0.04,0.187,-0.068,0.204
02,Alaska,AK,-155.249,65.276,-0.024,0.119,-1.111,0.144,-1.135,0.19,-0.546,0.105,-0.61,0.123,-1.156,0.171,AK,NA,NA,NA,NA,NA,NA,NA,NA,-1.747,0.563,NA,NA,0.584,0.374,-1.074,0.504,-0.49,0.554,-0.299,0.309,-0.921,0.425,-1.22,0.449,0.151,0.133,0.267,0.171,0.419,0.202,-0.459,0.131,0.831,0.133,0.373,0.225
04,Arizona,AZ,-111.592,34.456,-0.056,0.127,-0.198,0.164,-0.254,0.193,-0.69,0.12,-0.081,0.134,-0.771,0.2,AZ,0.171,0.391,-1.552,0.579,-1.381,0.526,-1.042,0.376,-1.433,0.44,-2.475,0.61,0.01,0.167,-1.119,0.211,-1.109,0.259,-0.667,0.139,-1.103,0.171,-1.77,0.219,-0.109,0.167,0.999,0.215,0.89,0.256,-0.507,0.159,1.216,0.192,0.71,0.253
05,Arkansas,AR,-92.646,34.756,-0.315,0.126,-0.269,0.15,-0.584,0.201,-0.591,0.116,-0.554,0.152,-1.145,0.174,AR,-0.549,0.22,-2.127,0.248,-2.676,0.363,-0.544,0.192,-2.6,0.26,-3.145,0.282,-0.679,0.286,-0.627,0.376,-1.306,0.431,-0.847,0.264,-1.072,0.343,-1.919,0.402,-0.206,0.136,0.413,0.17,0.206,0.214,-0.625,0.129,0.227,0.177,-0.398,0.187
06,California,CA,-121.915,40.084,-0.12,0.132,-0.186,0.159,-0.306,0.21,-0.482,0.128,-0.419,0.151,-0.901,0.207,CA,0.209,0.4,-2.181,0.531,-1.973,0.598,-0.723,0.361,-1.941,0.409,-2.664,0.596,-0.281,0.15,-1.097,0.196,-1.379,0.226,-0.537,0.119,-1.536,0.15,-2.074,0.184,-0.373,0.238,1.37,0.283,0.996,0.382,-0.631,0.24,1.172,0.301,0.541,0.374
08,Colorado,CO,-106.707,38.997,-0.258,0.113,0.605,0.134,0.347,0.181,-0.707,0.122,0.353,0.148,-0.353,0.195,CO,-0.439,0.444,-0.921,0.488,-1.36,0.743,-0.202,0.341,-1.643,0.439,-1.845,0.521,-0.306,0.181,-0.918,0.205,-1.224,0.299,-1.006,0.147,-1.166,0.182,-2.171,0.23,-0.215,0.117,1.583,0.16,1.368,0.171,-0.505,0.14,1.333,0.185,0.828,0.209
09,Connecticut,CT,-73.118,41.641,-0.516,0.118,0.667,0.159,0.151,0.174,-0.782,0.124,0.493,0.147,-0.289,0.199,CT,-0.576,0.23,-1.197,0.327,-1.773,0.324,-1.229,0.27,-1.647,0.366,-2.876,0.398,-0.487,0.22,-1.115,0.306,-1.602,0.315,-0.782,0.194,-1.299,0.237,-2.081,0.306,-0.389,0.127,1.733,0.162,1.344,0.195,-0.533,0.119,1.487,0.161,0.954,0.175
10,Delaware,DE,-75.457,38.708,-0.78,0.094,-0.086,0.109,-0.866,0.154,-1.29,0.098,-0.107,0.114,-1.398,0.159,DE,-0.65,0.17,-1.456,0.192,-2.106,0.28,-1.282,0.143,-1.621,0.176,-2.903,0.225,-0.755,0.195,-0.998,0.277,-1.753,0.275,-1.19,0.18,-0.935,0.247,-2.125,0.261,-0.69,0.132,1.004,0.154,0.313,0.215,-1.132,0.131,0.99,0.163,-0.142,0.205
11,District of Columbia,DC,-76.994,38.893,-0.428,0.096,-0.649,0.108,-1.078,0.159,-1.079,0.083,-0.675,0.101,-1.753,0.132,WDC,-0.56,0.114,-1.578,0.142,-2.137,0.178,-1.284,0.104,-1.556,0.132,-2.839,0.162,-0.739,0.235,-0.728,0.301,-1.467,0.362,-0.999,0.188,-0.851,0.248,-1.85,0.283,0.132,0.272,3.671,0.337,3.804,0.426,-0.668,0.207,3.668,0.284,3,0.302
12,Florida,FL,-81.442,27.688,-0.138,0.108,0.448,0.139,0.31,0.166,-0.586,0.11,0.352,0.143,-0.233,0.167,FL,-0.244,0.2,-0.935,0.28,-1.179,0.286,-0.62,0.179,-1.151,0.226,-1.771,0.279,0.106,0.147,0.085,0.187,0.191,0.227,-0.719,0.116,0.025,0.162,-0.694,0.165,-0.252,0.149,1.301,0.195,1.049,0.226,-0.351,0.163,1.239,0.206,0.888,0.252
